LanePointX,LanePointY
-1.453166,-0.000935
-1.246119,-0.000684
-1.035184,0.000966
-0.819295,0.004126
-0.607448,0.008679
-0.393922,0.014727
-0.189629,0.021887
0.034469,0.031287
0.235498,0.041100
0.450266,0.053026
0.678669,0.067347
0.870882,0.080710
1.071769,0.095879
1.281020,0.112920
1.499285,0.132166
1.725444,0.153694
1.960248,0.177755
2.203843,0.204563
2.455428,0.234227
2.650029,0.258554
2.848948,0.284663
3.051174,0.312494
3.257446,0.342241
3.467374,0.373926
3.680146,0.407483
3.895767,0.442998
4.113788,0.480459
4.334013,0.519878
4.555737,0.561183
4.779468,0.604526
5.004151,0.649735
5.229408,0.696757
5.454817,0.745539
5.681154,0.796269
5.907588,0.848764
6.133234,0.902846
6.358159,0.958526
6.582187,1.015750
6.806155,1.074731
7.029466,1.135313
7.252023,1.197465
7.474154,1.261275
7.695587,1.326662
7.916276,1.393607
8.136823,1.462294
8.356421,1.532471
8.574984,1.604100
8.792881,1.677292
9.010570,1.752204
9.227553,1.828668
9.443687,1.906627
9.658696,1.985972
9.873500,2.067040
10.087310,2.149534
10.300519,2.233600
10.512762,2.319090
10.724426,2.406156
10.935187,2.494663
11.145304,2.584715
11.354573,2.676225
11.563345,2.769343
11.771025,2.863803
11.977449,2.959517
12.183446,3.056866
12.388622,3.155666
12.592957,3.255903
12.796472,3.357587
12.998581,3.460415
13.200260,3.564876
13.401206,3.670820
13.600735,3.777879
13.799601,3.886448
13.997549,3.996389
14.194659,4.107744
14.390757,4.220412
14.585856,4.334394
14.780327,4.449906
14.973609,4.566616
15.165780,4.684560
15.357080,4.803881
15.547298,4.924444
15.736328,5.046175
15.924662,5.169388
16.112135,5.293979
16.297933,5.419395
16.483212,5.546410
16.667434,5.674659
16.850545,5.804101
17.032571,5.934747
17.213550,6.066622
17.393473,6.199714
17.572313,6.334001
17.750453,6.469771
17.927159,6.606464
18.102494,6.744113
18.277115,6.883231
18.450478,7.023386
18.622488,7.164490
18.793825,7.307101
18.963831,7.450671
19.132646,7.595311
19.300194,7.740949
19.466758,7.887825
19.632068,8.035700
19.796217,8.184652
19.959259,8.334725
20.121159,8.485886
20.281849,8.638067
20.441586,8.791511
20.599841,8.945705
20.757010,9.101027
20.912864,9.257248
21.067280,9.414231
21.220971,9.572702
21.372884,9.731572
21.524152,9.892018
21.673856,10.053070
21.822403,10.215154
21.969832,10.378313
22.115685,10.542032
22.260415,10.706810
22.404050,10.872679
22.546263,11.039261
22.687301,11.206834
22.827234,11.375486
22.965673,11.544742
23.102844,11.714868
23.238687,11.885785
23.373059,12.057301
23.503505,12.232595
23.634436,12.407080
23.765350,12.580939
23.896488,12.755093
24.027469,12.929038
24.158360,13.102863
24.288972,13.276318
24.419522,13.449691
24.550199,13.623232
24.680647,13.796469
24.811079,13.969685
24.941468,14.142843
25.071746,14.315854
25.201970,14.488793
25.332062,14.661558
25.461996,14.834112
25.591922,15.006656
25.721634,15.178915
25.851273,15.351079
25.980817,15.523115
26.110456,15.695277
26.239810,15.867061
26.369051,16.038695
26.498367,16.210429
26.627821,16.382346
26.757628,16.554731
26.887505,16.727210
27.017769,16.900203
27.147356,17.072296
27.277484,17.245108
27.407263,17.417456
27.536921,17.589645
27.666380,17.761568
27.795812,17.933456
27.925435,18.105597
28.054761,18.277344
28.184037,18.449025
28.313039,18.620341
28.441984,18.791582
28.570978,18.962889
28.699903,19.134103
28.829283,19.305921
28.959246,19.478514
29.090143,19.652348
29.222361,19.827935
29.355908,20.005288
29.491089,20.184810
29.628757,20.367636
29.768432,20.553125
29.911517,20.743144
30.057218,20.936639
30.205527,21.133595
30.357064,21.334839
30.511332,21.539709
30.668683,21.748673
30.828903,21.961447
30.992178,22.178280
31.158190,22.398746
31.327249,22.623260
31.499436,22.851926
31.615824,23.006491
31.733030,23.162143
31.851973,23.320101
31.972005,23.479505
32.093566,23.640940
32.216755,23.804537
32.340538,23.968923
32.465922,24.135434
32.592549,24.303597
32.720667,24.473739
32.849736,24.645146
32.980168,24.818361
33.112042,24.993492
33.245349,25.170526
33.379838,25.349129
33.515644,25.529482
33.652323,25.710993
33.790743,25.894817
33.930544,26.080475
34.071655,26.267873
34.213616,26.456400
34.356954,26.646754
34.501966,26.839332
34.647862,27.033085
34.794699,27.228086
34.942186,27.423951
35.090997,27.621574
35.240807,27.820524
35.391460,28.020594
35.543089,28.221960
35.694741,28.423357
35.848104,28.627024
36.001199,28.830337
36.154966,29.034542
36.310030,29.240469
36.464968,29.446229
36.620140,29.652300
36.776125,29.859450
36.932246,30.066782
37.089200,30.275219
37.245764,30.483138
37.402392,30.691143
37.559521,30.899813
37.716605,31.108423
37.873579,31.316887
38.031083,31.526054
38.187623,31.733942
38.344698,31.942540
38.501750,32.151107
38.658147,32.358805
38.815122,32.567270
38.971778,32.775312
39.128271,32.983137
39.285439,33.191858
39.441903,33.399645
39.598626,33.607776
39.754733,33.815088
39.910942,34.022536
40.067768,34.230804
40.223739,34.437936
40.379927,34.645356
40.536597,34.853416
40.692347,35.060255
40.848710,35.267907
41.005058,35.475539
41.160686,35.682216
41.316739,35.889456
41.472680,36.096548
41.628461,36.303428
41.784577,36.510752
41.939827,36.716927
42.095917,36.924217
42.251539,37.130886
42.406967,37.337296
42.563032,37.544553
42.718499,37.751015
42.873626,37.957027
43.028956,38.163307
43.184834,38.370315
43.339788,38.576096
43.495395,38.782745
43.650305,38.988468
43.805771,39.194930
43.960509,39.400425
44.115593,39.606378
44.271008,39.812771
44.425486,40.017920
44.580690,40.224034
44.735325,40.429391
44.890113,40.634953
45.045398,40.841173
45.199902,41.046357
45.354187,41.251250
45.508975,41.456811
45.663515,41.662042
45.818159,41.867412
45.972613,42.072530
46.126976,42.277526
46.281732,42.483044
46.436085,42.688028
46.590035,42.892476
46.744528,43.097644
46.898265,43.301810
47.052923,43.507197
47.206623,43.711314
47.360542,43.915721
47.514712,44.120461
47.668431,44.324602
47.822520,44.529235
47.976571,44.733816
48.129809,44.937319
48.283894,45.141946
48.437759,45.346281
48.591046,45.549849
48.744548,45.753702
48.898282,45.957864
49.051658,46.161548
49.205474,46.365818
49.358668,46.569262
49.512229,46.773194
49.665419,46.976632
49.818331,47.179702
49.971524,47.383145
50.124953,47.586901
50.277782,47.789861
50.431072,47.993431
50.583894,48.196381
50.736887,48.399559
50.889878,48.602733
51.042382,48.805262
51.195531,49.008646
51.348041,49.211181
51.500716,49.413936
51.653575,49.616934
51.806247,49.819686
51.958768,50.022237
52.111039,50.224454
52.263367,50.426748
52.411421,50.632019
52.559841,50.837770
52.709847,51.041495
52.862363,51.243679
53.016912,51.444507
53.172503,51.643244
53.330165,51.841340
53.488626,52.037218
53.649227,52.232553
53.811393,52.426621
53.974482,52.618668
54.139718,52.810143
54.305698,52.999415
54.473462,53.187688
54.642991,53.374926
54.813109,53.559841
54.985673,53.744458
55.158736,53.926684
55.333517,54.107825
55.510187,54.288041
55.687685,54.466249
55.866597,54.643053
56.046808,54.818342
56.227950,54.991768
56.411283,55.164534
56.595388,55.335294
56.780485,55.504271
56.967688,55.672478
57.155145,55.838250
57.344399,56.002970
57.535401,56.166575
57.726483,56.327647
57.919593,56.487842
58.113627,56.646233
58.308808,56.803011
58.505772,56.958680
58.702891,57.111959
58.901812,57.264141
59.101356,57.414321
59.302355,57.563132
59.504482,57.710328
59.708080,57.856154
59.911783,57.999640
60.117576,58.142192
60.323671,58.282562
60.531326,58.421619
60.739681,58.558782
60.948594,58.693973
61.159000,58.827799
61.370456,58.959972
61.582422,59.090160
61.796363,59.219261
62.009940,59.345862
62.225406,59.471313
62.441701,59.594982
62.658192,59.716521
62.876055,59.836596
63.094691,59.954873
63.314161,60.071389
63.534320,60.186070
63.756128,60.299412
63.978084,60.410642
64.200462,60.519917
64.423967,60.627586
64.648676,60.733678
64.873714,60.837779
65.099093,60.939909
65.325118,61.040214
65.552440,61.138981
65.780316,61.235880
66.009153,61.331085
66.238170,61.424274
66.468449,61.515890
66.698656,61.605403
66.929643,61.693155
67.161427,61.779150
67.393731,61.863284
67.626555,61.945562
67.860411,62.026161
68.093774,62.104563
68.328854,62.181514
68.563294,62.256239
68.798631,62.329243
69.034941,62.400541
69.271142,62.469807
69.508848,62.537514
69.745994,62.603069
69.983381,62.666714
70.221589,62.728604
70.459961,62.788567
70.698954,62.846720
70.938815,62.903116
71.177945,62.957387
71.418493,63.010024
71.658828,63.060665
71.898946,63.109321
72.140515,63.156330
72.381603,63.201308
72.622552,63.244336
72.864092,63.285547
73.106070,63.324911
73.348582,63.362440
73.591185,63.398063
73.833294,63.431704
74.076449,63.463581
74.318762,63.493445
74.561801,63.521500
74.805562,63.547732
75.048033,63.571934
75.291575,63.594352
75.535315,63.614893
75.778386,63.633493
76.022132,63.650258
76.266364,63.665167
76.509191,63.678112
76.753665,63.689263
76.996997,63.698481
77.240353,63.705830
77.484232,63.711319
77.727767,63.710434
77.971742,63.708646
78.215264,63.707427
78.457954,63.706322
78.701794,63.705211
78.944870,63.704092
79.188709,63.702963
79.431715,63.701836
79.674272,63.700709
79.917124,63.699581
80.159892,63.698453
80.403009,63.697323
80.645407,63.696197
80.888341,63.695068
81.131044,63.693940
81.373442,63.692814
81.615766,63.691688
81.858764,63.690559
82.100238,63.689437
82.342444,63.688311
82.584480,63.687186
82.827164,63.686059
83.069176,63.684934
83.311022,63.683810
83.552125,63.682690
83.794212,63.681565
84.036236,63.680440
84.277144,63.679321
84.519153,63.678196
84.759746,63.677078
85.001224,63.675956
85.242076,63.674837
85.483366,63.673716
85.724677,63.672594
85.965399,63.671476
86.206559,63.670355
86.446964,63.669238
86.688530,63.668116
86.928937,63.666998
87.169234,63.665882
87.409924,63.667061
87.650717,63.671441
87.890369,63.673968
88.130552,63.673657
88.371019,63.670972
88.611402,63.666350
88.851356,63.659897
89.091080,63.651633
89.329940,63.641590
89.569339,63.629713
89.808221,63.616050
90.047397,63.600556
90.286303,63.583263
90.525536,63.564126
90.763378,63.543288
91.001986,63.520568
91.239383,63.496150
91.477620,63.469829
91.714784,63.441809
91.951278,63.412060
92.187799,63.380496
92.424104,63.347148
92.660987,63.311893
92.896653,63.274998
93.131566,63.236406
93.367113,63.195888
93.601545,63.153739
93.835227,63.109909
94.069437,63.064154
94.302273,63.016846
94.535791,62.967570
94.767336,62.916887
94.999477,62.864249
95.231070,62.809900
95.462130,62.753843
95.692551,62.696105
95.923047,62.636506
96.152608,62.575304
96.380908,62.512602
96.609409,62.448002
96.837032,62.381802
97.064132,62.313907
97.291381,62.244108
97.516697,62.173050
97.742151,62.100093
97.967636,62.025255
98.191330,61.949146
98.414980,61.871184
98.637520,61.791737
98.859829,61.710495
99.080830,61.627855
99.301914,61.543298
99.522392,61.457079
99.741789,61.369385
99.960461,61.280082
100.178167,61.189273
100.394878,61.096978
100.611625,61.002754
100.827262,60.907093
101.041504,60.810134
101.255869,60.711193
101.468566,60.611092
101.680809,60.509272
101.892831,60.405609
102.102829,60.300991
102.312793,60.194439
102.522165,60.086220
102.729811,59.976928
102.937370,59.865706
103.143644,59.753191
103.348997,59.639192
103.553122,59.523885
103.756424,59.407048
103.959499,59.288330
104.160722,59.168680
104.361286,59.047404
104.561363,58.924388
104.759910,58.800275
104.957886,58.674470
105.154195,58.547674
105.349619,58.419394
105.544747,58.289233
105.738061,58.158203
105.930611,58.025606
106.122358,57.891462
106.312753,57.756155
106.502560,57.619146
106.690925,57.481047
