LanePointX,LanePointY
-1.454503,2.500000
-1.250687,2.500000
-1.044385,2.500000
-0.851768,2.500000
-0.657583,2.500000
-0.454488,2.500000
-0.250958,2.500000
-0.048904,2.500000
0.151771,2.500000
0.351006,2.500000
0.548877,2.500000
0.745143,2.500000
0.940143,2.500000
1.136057,2.500000
1.332611,2.500000
4.698826,2.500000
4.893549,2.500000
5.090903,2.500000
5.290755,2.500000
5.492456,2.500000
5.695447,2.500000
5.899697,2.500000
6.103699,2.500000
6.307153,2.500000
6.510661,2.500000
6.714257,2.500000
6.917364,2.500000
7.119997,2.500000
7.322826,2.500000
7.524793,2.500000
10.806923,2.482381
11.019050,2.475256
11.230645,2.466947
11.442439,2.457425
11.653573,2.446733
11.864482,2.434855
12.074782,2.421819
12.285083,2.407591
12.495148,2.392188
12.704759,2.375629
12.913653,2.357944
13.122685,2.339064
13.330783,2.319091
13.539022,2.297926
13.746592,2.275655
17.044560,1.762389
17.253093,1.719697
17.464931,1.675252
17.681298,1.628642
17.902356,1.579660
18.129899,1.527807
18.364683,1.472786
18.606233,1.414566
18.853980,1.353149
19.107507,1.288508
19.366654,1.220536
19.564132,1.167452
19.763216,1.112796
19.965070,1.056202
20.168512,0.997961
23.467529,-0.122158
23.670080,-0.202174
23.871899,-0.283248
24.073412,-0.365550
24.274043,-0.448842
24.474182,-0.533281
24.673772,-0.618844
24.872679,-0.705470
30.596366,-3.772572
30.767222,-3.873172
30.937969,-3.973708
31.108835,-4.074315
31.278946,-4.174476
31.449393,-4.274836
31.619615,-4.375063
34.326407,-5.968827
34.494716,-6.067928
34.662685,-6.166829
34.842590,-6.267995
35.021500,-6.373724
35.200045,-6.481095
35.377447,-6.589141
35.554501,-6.698318
35.730553,-6.808218
35.906092,-6.919145
36.080802,-7.030897
36.254815,-7.143554
36.427903,-7.256966
36.600652,-7.371514
36.772619,-7.486908
39.414709,-9.443089
39.573118,-9.572133
39.730681,-9.701914
39.887470,-9.832487
40.043610,-9.963956
40.198356,-10.095685
40.352882,-10.228671
40.506081,-10.361960
40.658931,-10.496399
40.810493,-10.631160
41.011482,-10.812139
41.211071,-10.994464
41.409126,-11.178005
41.605783,-11.362885
41.800631,-11.548706
44.721897,-14.692960
44.891653,-14.899389
45.059498,-15.106467
45.226186,-15.315129
45.392365,-15.526212
45.558552,-15.740431
45.683718,-15.903879
45.809304,-16.069736
45.935948,-16.238909
46.063110,-16.410751
46.191790,-16.586703
46.322024,-16.766924
46.453501,-16.951097
46.586281,-17.139426
46.720232,-17.331850
48.975411,-21.012452
49.119258,-21.281765
49.214982,-21.463827
49.310631,-21.648097
49.406161,-21.834556
49.501420,-22.022967
49.596642,-22.213859
49.691633,-22.406920
49.786120,-22.601647
49.880578,-22.799092
49.974601,-22.998480
50.068552,-23.200660
